Meter No.,IP ,Keys 
CRYT3037067,2405:0203:c3f4:7BB6:0000:0000:0000:0010,123
CRYT3037662,2405:0203:c3f4:732F:0000:0000:0000:0010,123
CRYT3027426,2405:0203:c3f4:46A7:0000:0000:0000:0010,123
CRYT3016248,2405:0203:c3f4:3EF1:0000:0000:0000:0010,123
CRYT3016621,2405:0203:c3f4:4517:0000:0000:0000:0010,123
CRYT3019511,2405:0203:c3f4:6E84:0000:0000:0000:0010,123
CRYT3025443,2405:0203:c3f4:3A37:0000:0000:0000:0010,123
CRYT3035459,2405:0203:c3f4:63C6:0000:0000:0000:0010,123
CRYT3018078,2405:0203:c3f4:3F41:0000:0000:0000:0010,123
CRYT3031628,2405:0203:c3f4:BE25:0000:0000:0000:0010,123
CRYT3038775,2405:0203:c3f4:8577:0000:0000:0000:0010,123
CRYT3041109,2405:0203:c3f4:B4DB:0000:0000:0000:0010,123
CRYT3038852,2405:0203:c3f4:8584:0000:0000:0000:0010,123
CRYT3017819,2405:0203:c3f4:570F:0000:0000:0000:0010,123
CRYT3037309,2405:0203:c3f4:66EF:0000:0000:0000:0010,123
CRYT3030578,2405:0203:c3f4:B8CF:0000:0000:0000:0010,123
CRYT3027424,2405:0203:c3f4:4591:0000:0000:0000:0010,123
CRYT3036747,2405:0203:c3f4:80BD:0000:0000:0000:0010,123
CRYT3026888,2405:0203:c3f4:482E:0000:0000:0000:0010,123
CRYT3066118,2405:0203:c3f4:9929:0000:0000:0000:0010,123
CRYT3068708,2405:0203:c3f4:D185:0000:0000:0000:0010,123
CRYT3069686,2405:0203:c3f4:C4C9:0000:0000:0000:0010,123
CRYT3070738,2405:0203:c3f4:C340:0000:0000:0000:0010,123
CRYT3066235,2405:0203:c3f4:7DA2:0000:0000:0000:0010,123
CRYT3067721,2405:0203:c3f4:D42A:0000:0000:0000:0010,123
CRYT3068355,2405:0203:c3f4:D073:0000:0000:0000:0010,123
CRYT3071631,2405:0203:c3f4:8A11:0000:0000:0000:0010,123
CRYT3067734,2405:0203:c3f4:D2FD:0000:0000:0000:0010,123
CRYT3069807,2405:0203:c3f4:C2E1:0000:0000:0000:0010,123
CRYT3070935,2405:0203:c3f4:C72B:0000:0000:0000:0010,123
CRYT3066697,2405:0203:c3f4:97EB:0000:0000:0000:0010,123
CRYT3071033,2405:0203:c3f4:C62E:0000:0000:0000:0010,123
CRYT3066107,2405:0203:c3f4:980F:0000:0000:0000:0010,123
CRYT3070249,2405:0203:c3f4:C599:0000:0000:0000:0010,123
CRYT3030494,2405:0203:c3f4:B7D8:0000:0000:0000:0010,123
CRYT3031885,2405:0203:c3f4:A710:0000:0000:0000:0010,123
CRYT3026316,2405:0203:c3f4:5F6B:0000:0000:0000:0010,123
CRYT3042745,2405:0203:c3f4:AB31:0000:0000:0000:0010,123
CRYT3068819,2405:0203:c3f4:CAF8:0000:0000:0000:0010,123
CRYT3074025,2405:0203:c3f9:7042:0000:0000:0000:0010,123
CRYT3066295,2405:0203:c3f4:8312:0000:0000:0000:0010,123
CRYT3067415,2405:0203:c3f4:C837:0000:0000:0000:0010,123
CRYT3067875,2405:0203:c3f4:C801:0000:0000:0000:0010,123
CRYT3068566,2405:0203:c3f4:CFE9:0000:0000:0000:0010,123
CRYT3069030,2405:0203:c3f4:CEF5:0000:0000:0000:0010,123
CRYT3073032,2405:0203:c3f4:CD88:0000:0000:0000:0010,123
CRYT3039604,2405:0203:c3f4:7928:0000:0000:0000:0010,123
CRYT3065429,2405:0203:c3f4:7E3C:0000:0000:0000:0010,123
CRYT3065217,2405:0203:c3f4:8008:0000:0000:0000:0010,123
CRYT3070459,2405:0203:c3f4:CC86:0000:0000:0000:0010,123
CRYT3071319,2405:0203:c3f4:CC77:0000:0000:0000:0010,123
CRYT3068942,2405:0203:c3f4:CEBD:0000:0000:0000:0010,123
CRYT3073143,2405:0203:c3f4:CDB7:0000:0000:0000:0010,123
CRYT3032325,2405:0203:c3f4:B0E2:0000:0000:0000:0010,123
CRYT3066921,2405:0203:c3f4:D2C4:0000:0000:0000:0010,123
CRYT3071348,2405:0203:c3f4:CBDC:0000:0000:0000:0010,123
CRYT3071444,2405:0203:c3f4:CB36:0000:0000:0000:0010,123
CRYT3073751,2405:0203:c3f9:8521:0000:0000:0000:0010,123
CRYT3068867,2405:0203:c3f4:CAA9:0000:0000:0000:0010,123
CRYT3068800,2405:0203:c3f4:D2A8:0000:0000:0000:0010,123
CRYT3029230,2405:0203:c3f4:5CAA:0000:0000:0000:0010,123
CRYT3029318,2405:0203:c3f4:5DE7:0000:0000:0000:0010,123
CRYT3029474,2405:0203:c3f4:5312:0000:0000:0000:0010,123
CRYT3015141,2405:0203:c3f4:4661:0000:0000:0000:0010,123
CRYT3034067,2405:0203:c3f4:A91D:0000:0000:0000:0010,123
CRYT3015601,2405:0203:c3f4:52E7:0000:0000:0000:0010,123
CRYT3025170,2405:0203:c3f4:4336:0000:0000:0000:0010,123
CRYT3036272,2405:0203:c3f4:6780:0000:0000:0000:0010,123
CRYT3027279,2405:0203:c3f4:39FF:0000:0000:0000:0010,123
CRYT3035568,2405:0203:c3f4:7D2A:0000:0000:0000:0010,123
CRYT3035325,2405:0203:c3f4:82C4:0000:0000:0000:0010,123
CRYT3025574,2405:0203:c3f4:3D35:0000:0000:0000:0010,123
CRYT3031715,2405:0203:c3f4:A7B5:0000:0000:0000:0010,123
CRYT3019247,2405:0203:c3f4:585F:0000:0000:0000:0010,123
CRYT3018982,2405:0203:c3f4:5C1A:0000:0000:0000:0010,123
CRYT3035515,2405:0203:c3f4:7D71:0000:0000:0000:0010,123
CRYT3040968,2405:0203:c3f4:B2A4:0000:0000:0000:0010,123
CRYT3015205,2405:0203:c3f4:4617:0000:0000:0000:0010,123
CRYT3031952,2405:0203:c3f4:B43F:0000:0000:0000:0010,123
CRYT3036057,2405:0203:c3f4:5C5B:0000:0000:0000:0010,123
CRYT3017491,2405:0203:c3f4:51C0:0000:0000:0000:0010,123
CRYT3029489,2405:0203:c3f4:5BF4:0000:0000:0000:0010,123
CRYT3017213,2405:0203:c3f4:471F:0000:0000:0000:0010,123
CRYT3042827,2405:0203:c3f4:9E97:0000:0000:0000:0010,123
CRYT3019596,2405:0203:c3f4:845D:0000:0000:0000:0010,123
CRYT3018914,2405:0203:c3f4:5BF6:0000:0000:0000:0010,123
CRYT3038943,2405:0203:c3f4:7305:0000:0000:0000:0010,123
CRYT3036441,2405:0203:c3f4:79A1:0000:0000:0000:0010,123
CRYT3026531,2405:0203:c3f4:4D87:0000:0000:0000:0010,123
CRYT3030374,2405:0203:c3f4:BB23:0000:0000:0000:0010,123
CRYT3028729,2405:0203:c3f4:59AE:0000:0000:0000:0010,123
CRYT3030435,2405:0203:c3f4:BAED:0000:0000:0000:0010,123
CRYT3036067,2405:0203:c3f4:5C68:0000:0000:0000:0010,123
CRYT3160820,2405:0203:c3f9:9E2C:0000:0000:0000:0010,123
CRYT3073885,2405:0203:c3f9:8680:0000:0000:0000:0010,123
CRYT3154803,2405:0203:c3f4:E90C:0000:0000:0000:0010,123
CRYT3154524,2405:0203:c3f4:F2DB:0000:0000:0000:0010,123
CRYT3163436,2405:0203:c3f9:AA9A:0000:0000:0000:0010,123
CRYT3154283,2405:0203:c3f9:A5C4:0000:0000:0000:0010,123
CRYT3152841,2405:0203:c3f4:F553:0000:0000:0000:0010,123
CRYT3039757,2405:0203:c3f4:748D:0000:0000:0000:0010,123
CRYT3025381,2405:0203:c3f4:3D65:0000:0000:0000:0010,123
CRYT3016237,2405:0203:c3f4:3EEA:0000:0000:0000:0010,123
CRYT3038167,2405:0203:c3f4:98AF:0000:0000:0000:0010,123
CRYT3019827,2405:0203:c3f4:8418:0000:0000:0000:0010,123
CRYT3018385,2405:0203:c3f4:524D:0000:0000:0000:0010,123
CRYT3038973,2405:0203:c3f4:6797:0000:0000:0000:0010,123
CRYT3159083,2405:0203:c3f9:B520:0000:0000:0000:0010,123
CRYT3157078,2405:0203:c3f9:A224:0000:0000:0000:0010,123
CRYT3151765,2405:0203:c3f9:C1A0:0000:0000:0000:0010,123
CRYT3154256,2405:0203:c3f9:A371:0000:0000:0000:0010,123
CRYT3160021,2405:0203:c3f9:9A5C:0000:0000:0000:0010,123
CRYT3161880,2405:0203:c3f4:E8D3:0000:0000:0000:0010,123
CRYT3157652,2405:0203:c3f4:F7C6:0000:0000:0000:0010,123
CRYT3159580,2405:0203:c3f9:BA65:0000:0000:0000:0010,123
CRYT3150201,2405:0203:c3f9:6720:0000:0000:0000:0010,123
CRYT3156393,2405:0203:c3f9:A98C:0000:0000:0000:0010,123
CRYT3159945,2405:0203:c3f9:BA12:0000:0000:0000:0010,123
CRYT3160668,2405:0203:c3f4:F1CE:0000:0000:0000:0010,123
CRYT3159772,2405:0203:c3f9:B85A:0000:0000:0000:0010,123
CRYT3158171,2405:0203:c3f9:B817:0000:0000:0000:0010,123
CRYT3155637,2405:0203:c3f4:F783:0000:0000:0000:0010,123
CRYT3158533,2405:0203:c3f9:AE4D:0000:0000:0000:0010,123
CRYT3160007,2405:0203:c3f9:9972:0000:0000:0000:0010,123
CRYT3163163,2405:0203:c3f9:ADED:0000:0000:0000:0010,123
CRYT3074926,2405:0203:c3f9:8A35:0000:0000:0000:0010,123
CRYT3157564,2405:0203:c3f4:F6C4:0000:0000:0000:0010,123
CRYT3155544,2405:0203:c3f4:F3A8:0000:0000:0000:0010,123
CRYT3155601,2405:0203:c3f4:F030:0000:0000:0000:0010,123
CRYT3163084,2405:0203:c3f9:B13C:0000:0000:0000:0010,123
CRYT3150738,2405:0203:c3f9:6750:0000:0000:0000:0010,123
CRYT3155819,2405:0203:c3f4:E85B:0000:0000:0000:0010,123
CRYT3157504,2405:0203:c3f4:EEE9:0000:0000:0000:0010,123
CRYT3157647,2405:0203:c3f4:F7B1:0000:0000:0000:0010,123
CRYT3156991,2405:0203:c3f9:B689:0000:0000:0000:0010,123
CRYT3040966,2405:0203:c3f4:B228:0000:0000:0000:0010,123
CRYT3026918,2405:0203:c3f4:481E:0000:0000:0000:0010,123
CRYT3160054,2405:0203:c3f9:99A9:0000:0000:0000:0010,123
CRYT3160100,2405:0203:c3f9:9BA5:0000:0000:0000:0010,123
CRYT3163659,2405:0203:c3f9:B92A:0000:0000:0000:0010,123
CRYT3164572,2405:0203:c3f4:E1BD:0000:0000:0000:0010,123
CRYT3156779,2405:0203:c3f9:B60E:0000:0000:0000:0010,123
CRYT3159093,2405:0203:c3f9:B580:0000:0000:0000:0010,123
CRYT3161930,2405:0203:c3f4:E8DA:0000:0000:0000:0010,123
CRYT3156065,2405:0203:c3f9:AE37:0000:0000:0000:0010,123
CRYT3159475,2405:0203:c3f9:B75A:0000:0000:0000:0010,123
CRYT3025788,2405:0203:c3f4:4288:0000:0000:0000:0010,123
CRYT3031293,2405:0203:c3f4:B789:0000:0000:0000:0010,123
CRYT3153322,2405:0203:c3f4:F14C:0000:0000:0000:0010,123
CRYT3035402,2405:0203:c3f4:8629:0000:0000:0000:0010,123
CRYT3043876,2405:0203:c3f4:6BF9:0000:0000:0000:0010,123
CRYT3043570,2405:0203:c3f4:7873:0000:0000:0000:0010,123
CRYT3308267,2405:0203:c3f9:06A7:0000:0000:0000:0010,123
CRYT3341386,2405:0203:c3f9:4FD2:0000:0000:0000:0010,123
CRYT3163137,2405:0203:c3f9:B13B:0000:0000:0000:0010,123
CRYT3156723,2405:0203:c3f9:B923:0000:0000:0000:0010,123
CRYT3153251,2405:0203:c3f9:A02B:0000:0000:0000:0010,123
CRYT3153508,2405:0203:c3f9:A4F0:0000:0000:0000:0010,123
CRYT3156377,2405:0203:c3f9:A98E:0000:0000:0000:0010,123
CRYT3163589,2405:0203:c3f9:ABA2:0000:0000:0000:0010,123
CRYT3039649,2405:0203:c3f4:98F3:0000:0000:0000:0010,123
CRYT3043434,2405:0203:c3f4:6384:0000:0000:0000:0010,123
CRYT3044927,2405:0203:c3f4:7152:0000:0000:0000:0010,123
CRYT3034531,2405:0203:c3f4:9C61:0000:0000:0000:0010,123
CRYT3017605,2405:0203:c3f4:5292:0000:0000:0000:0010,123
CRYT3034447,2405:0203:c3f4:9CD1:0000:0000:0000:0010,123
CRYT3042036,2405:0203:c3f4:AD61:0000:0000:0000:0010,123
CRYT3302605,2405:0203:c3fa:C7BF:0000:0000:0000:0010,123
CRYT3162750,2405:0203:c3f4:E83F:0000:0000:0000:0010,123
CRYT3158014,2405:0203:c3f9:AA7F:0000:0000:0000:0010,123
CRYT3036331,2405:0203:c3f4:864D:0000:0000:0000:0010,123
CRYT3034888,2405:0203:c3f4:9A66:0000:0000:0000:0010,123
CRYT3037472,2405:0203:c3f4:73D5:0000:0000:0000:0010,123
CRYT3019504,2405:0203:c3f4:6D85:0000:0000:0000:0010,123
CRYT3016220,2405:0203:c3f4:3EDB:0000:0000:0000:0010,123
CRYT3163200,2405:0203:c3f9:AC7E:0000:0000:0000:0010,123
CRYT3160544,2405:0203:c3f9:9A5E:0000:0000:0000:0010,123
CRYT3157955,2405:0203:c3f4:F7D9:0000:0000:0000:0010,123
CRYT3162306,2405:0203:c3f4:ED68:0000:0000:0000:0010,123
CRYT3157154,2405:0203:c3f9:A333:0000:0000:0000:0010,123
CRYT3153469,2405:0203:c3f9:A4C2:0000:0000:0000:0010,123
CRYT3163996,2405:0203:c3f9:B123:0000:0000:0000:0010,123
CRYT3163876,2405:0203:c3f9:B0FD:0000:0000:0000:0010,123
CRYT3152647,2405:0203:c3f9:9AEB:0000:0000:0000:0010,123
CRYT3348035,2405:0203:c3e0:961A:0000:0000:0000:0010,123
CRYT3160309,2405:0203:c3f4:F64E:0000:0000:0000:0010,123
CRYT3159218,2405:0203:c3f9:B5D3:0000:0000:0000:0010,123
CRYT3073555,2405:0203:c3f9:860C:0000:0000:0000:0010,123
CRYT3370388,2405:0203:c3e0:7776:0000:0000:0000:0010,123
CRYT3343088,2405:0203:c3e0:A216:0000:0000:0000:0010,123
CRYT3015546,2405:0203:c3f4:61DB:0000:0000:0000:0010,123
CRYT3019812,2405:0203:c3f4:84F1:0000:0000:0000:0010,123
CRYT3044875,2405:0203:c3f4:6AC9:0000:0000:0000:0010,123
CRYT3028139,2405:0203:c3f4:47DD:0000:0000:0000:0010,123
CRYT3043075,2405:0203:c3f4:7F11:0000:0000:0000:0010,123
CRYT3028505,2405:0203:c3f4:58F8:0000:0000:0000:0010,123
CRYT3042217,2405:0203:c3f4:ACE7:0000:0000:0000:0010,123
CRYT3019451,2405:0203:c3f4:6DAA:0000:0000:0000:0010,123
CRYT3015335,2405:0203:c3f4:5055:0000:0000:0000:0010,123
