MeterNo,IsSuccessful,CompletedOn
CRYT3150755,True,2025-20-04 14:20:14,
CRYT3158930,True,2025-20-04 14:20:14,
CRYT3150124,True,2025-20-04 14:20:15,
CRYT3162019,True,2025-20-04 14:20:15,
CRYT3151542,True,2025-20-04 14:20:15,
CRYT3074716,True,2025-20-04 14:20:16,
CRYT3160203,False,2025-21-04 14:21:14,Id_7 CRYT3160203 Could not open tcp connection
CRYT3044046,True,2025-20-04 14:20:16,
CRYT3042723,True,2025-20-04 14:20:17,
CRYT3044395,True,2025-20-04 14:20:17,
CRYT3025789,False,2025-21-04 14:21:15,Id_11 CRYT3025789 Could not open tcp connection
CRYT3031627,True,2025-20-04 14:20:18,
CRYT3038586,False,2025-21-04 14:21:16,Id_13 CRYT3038586 Could not open tcp connection
CRYT3031700,True,2025-20-04 14:20:18,
CRYT3067446,True,2025-20-04 14:20:19,
CRYT3029961,False,2025-21-04 14:21:17,Id_16 CRYT3029961 Could not open tcp connection
CRYT3037607,True,2025-20-04 14:20:20,
CRYT3153336,True,2025-20-04 14:20:20,
CRYT3019277,True,2025-20-04 14:20:21,
CRYT3042945,False,2025-21-04 14:21:19,Id_20 CRYT3042945 Could not open tcp connection
CRYT3028418,True,2025-20-04 14:20:21,
CRYT3164176,True,2025-20-04 14:20:22,
CRYT3151885,True,2025-20-04 14:20:22,
CRYT3156390,True,2025-20-04 14:20:23,
CRYT3154881,True,2025-20-04 14:20:24,
CRYT3153554,True,2025-20-04 14:20:23,
CRYT3158472,True,2025-20-04 14:20:24,
CRYT3162752,True,2025-20-04 14:20:24,
CRYT3015036,True,2025-20-04 14:20:24,
CRYT3016352,False,2025-21-04 14:21:22,Id_30 CRYT3016352 Could not open tcp connection
CRYT3030421,True,2025-20-04 14:20:25,
CRYT3016377,False,2025-21-04 14:21:23,Id_32 CRYT3016377 Could not open tcp connection
CRYT3031330,True,2025-20-04 14:20:25,
CRYT3150982,True,2025-20-04 14:20:25,
CRYT3152734,True,2025-20-04 14:20:26,
CRYT3157521,False,2025-20-04 14:20:30,Id_36 CRYT3157521 Could not open tcp connection
CRYT3155598,True,2025-20-04 14:20:26,
CRYT3038582,False,2025-21-04 14:21:25,Id_38 CRYT3038582 Could not open tcp connection
CRYT3068728,True,2025-20-04 14:20:27,
CRYT3067592,True,2025-20-04 14:20:28,
CRYT3039965,False,2025-21-04 14:21:26,Id_41 CRYT3039965 Could not open tcp connection
CRYT3031804,True,2025-20-04 14:20:29,
CRYT3074218,True,2025-20-04 14:20:30,
CRYT3039104,True,2025-20-04 14:20:30,
CRYT3039800,True,2025-20-04 14:20:31,
CRYT3327212,True,2025-20-04 14:20:30,
CRYT3154667,True,2025-20-04 14:20:31,
