MeterNo,IsSuccessful,CompletedOn
CRYT3150755,True,2025-22-04 15:22:33,
CRYT3158930,True,2025-22-04 15:22:33,
CRYT3150124,True,2025-22-04 15:22:33,
CRYT3162019,False,2025-23-04 15:23:32,Id_4 CRYT3162019 Could not open tcp connection
CRYT3151542,True,2025-22-04 15:22:33,
CRYT3074716,True,2025-22-04 15:22:35,
CRYT3160203,True,2025-22-04 15:22:35,
CRYT3044046,True,2025-22-04 15:22:34,
CRYT3042723,True,2025-22-04 15:22:36,
CRYT3044395,True,2025-22-04 15:22:36,
CRYT3025789,False,2025-23-04 15:23:34,Id_11 CRYT3025789 Could not open tcp connection
CRYT3031627,True,2025-22-04 15:22:37,
CRYT3038586,True,2025-22-04 15:22:37,
CRYT3031700,True,2025-22-04 15:22:38,
CRYT3067446,True,2025-22-04 15:22:38,
CRYT3029961,False,2025-23-04 15:23:35,Id_16 CRYT3029961 Could not open tcp connection
CRYT3037607,True,2025-22-04 15:22:39,
CRYT3153336,True,2025-22-04 15:22:40,
CRYT3019277,True,2025-22-04 15:22:39,
CRYT3042945,True,2025-22-04 15:22:52,
CRYT3028418,True,2025-22-04 15:22:40,
CRYT3164176,True,2025-22-04 15:22:41,
CRYT3151885,True,2025-22-04 15:22:42,
CRYT3156390,False,2025-23-04 15:23:38,Id_24 CRYT3156390 Could not open tcp connection
CRYT3154881,True,2025-22-04 15:22:41,
CRYT3153554,True,2025-22-04 15:22:42,
CRYT3158472,True,2025-22-04 15:22:43,
CRYT3162752,True,2025-22-04 15:22:47,
CRYT3015036,True,2025-22-04 15:22:43,
CRYT3016352,True,2025-22-04 15:22:43,
CRYT3030421,True,2025-22-04 15:22:43,
CRYT3016377,False,2025-23-04 15:23:40,Id_32 CRYT3016377 Could not open tcp connection
CRYT3031330,True,2025-22-04 15:22:43,
CRYT3150982,True,2025-22-04 15:22:43,
CRYT3152734,True,2025-22-04 15:22:44,
CRYT3157521,True,2025-22-04 15:22:44,
CRYT3155598,True,2025-22-04 15:22:45,
CRYT3038582,True,2025-22-04 15:22:44,
CRYT3068728,True,2025-22-04 15:22:45,
CRYT3067592,True,2025-22-04 15:22:45,
CRYT3039965,True,2025-22-04 15:22:45,
CRYT3031804,True,2025-22-04 15:22:46,
CRYT3074218,True,2025-22-04 15:22:46,
CRYT3039104,True,2025-22-04 15:22:46,
CRYT3039800,True,2025-22-04 15:22:47,
CRYT3327212,True,2025-22-04 15:22:47,
CRYT3154667,True,2025-22-04 15:22:47,
CRYT3155017,True,2025-22-04 15:22:47,
CRYT3157410,True,2025-22-04 15:22:48,
CRYT3150151,True,2025-22-04 15:22:55,
CRYT3162386,False,2025-23-04 15:23:46,Id_51 CRYT3162386 Could not open tcp connection
CRYT3152605,True,2025-22-04 15:22:49,
CRYT3160395,True,2025-22-04 15:22:48,
CRYT3019056,True,2025-22-04 15:22:49,
CRYT3028071,True,2025-22-04 15:22:50,
CRYT3015702,True,2025-22-04 15:22:50,
CRYT3026537,False,2025-23-04 15:23:48,Id_57 CRYT3026537 Could not open tcp connection
CRYT3032233,False,2025-23-04 15:23:49,Id_58 CRYT3032233 Could not open tcp connection
CRYT3040944,True,2025-22-04 15:22:51,
CRYT3071039,False,2025-23-04 15:23:49,Id_60 CRYT3071039 Could not open tcp connection
CRYT3040766,True,2025-22-04 15:22:52,
CRYT3066628,True,2025-22-04 15:22:52,
CRYT3068039,True,2025-22-04 15:22:53,
CRYT3019296,False,2025-23-04 15:23:51,Id_64 CRYT3019296 Could not open tcp connection
CRYT3025414,True,2025-22-04 15:22:53,
CRYT3065724,True,2025-22-04 15:22:53,
CRYT3035148,True,2025-22-04 15:22:54,
CRYT3027425,True,2025-22-04 15:22:54,
CRYT3036515,True,2025-22-04 15:22:54,
CRYT3160654,True,2025-22-04 15:22:54,
CRYT3018100,True,2025-22-04 15:22:55,
CRYT3041182,True,2025-22-04 15:22:56,
CRYT3068710,True,2025-22-04 15:22:55,
CRYT3032626,True,2025-22-04 15:22:55,
CRYT3067939,True,2025-22-04 15:22:56,
CRYT3069028,True,2025-22-04 15:22:56,
CRYT3158604,True,2025-22-04 15:22:56,
CRYT3039508,False,2025-23-04 15:23:55,Id_78 CRYT3039508 Could not open tcp connection
CRYT3015510,True,2025-22-04 15:22:56,
CRYT3164801,True,2025-22-04 15:22:57,
CRYT3152621,True,2025-23-04 15:23:04,
CRYT3160486,True,2025-22-04 15:22:58,
CRYT3034771,True,2025-22-04 15:22:58,
CRYT3033551,True,2025-22-04 15:22:58,
CRYT3031758,True,2025-22-04 15:22:59,
CRYT3162334,False,2025-23-04 15:23:57,Id_86 CRYT3162334 Could not open tcp connection
CRYT3156057,True,2025-22-04 15:22:59,
CRYT3158717,True,2025-23-04 15:23:00,
CRYT3164548,True,2025-23-04 15:23:07,
CRYT3158417,True,2025-23-04 15:23:01,
CRYT3154871,True,2025-23-04 15:23:00,
CRYT3150116,True,2025-23-04 15:23:01,
CRYT3156596,True,2025-23-04 15:23:01,
CRYT3158119,True,2025-23-04 15:23:01,
CRYT3016005,True,2025-23-04 15:23:02,
CRYT3043714,False,2025-24-04 15:24:00,Id_96 CRYT3043714 Could not open tcp connection
CRYT3031484,True,2025-23-04 15:23:03,
CRYT3018492,True,2025-23-04 15:23:02,
CRYT3028400,True,2025-23-04 15:23:02,
CRYT3044625,True,2025-23-04 15:23:03,
CRYT3040756,True,2025-23-04 15:23:11,
CRYT3031754,True,2025-23-04 15:23:04,
CRYT3032386,True,2025-23-04 15:23:04,
CRYT3032291,True,2025-23-04 15:23:04,
CRYT3073927,True,2025-23-04 15:23:05,
CRYT3065325,True,2025-23-04 15:23:05,
CRYT3032378,True,2025-23-04 15:23:05,
CRYT3016104,True,2025-23-04 15:23:05,
CRYT3043539,True,2025-23-04 15:23:06,
CRYT3026849,True,2025-23-04 15:23:13,
CRYT3017348,True,2025-23-04 15:23:06,
CRYT3036760,True,2025-23-04 15:23:06,
