MeterNo.,IP,keys
CRYT3015580,2405:0203:c3f4:6A7F:0000:0000:0000:0010,123
CRYT3065319,2405:0203:c3f4:7E45:0000:0000:0000:0010,123
CRYT3558883,2405:0203:c3e5:6D15:0000:0000:0000:0010,123
CRYT3534833,2405:0203:c3e1:7A7C:0000:0000:0000:0010,123
CRYT3032635,2405:0203:c3f4:A383:0000:0000:0000:0010,123
CRYT3160680,2405:0203:c3f9:A3F7:0000:0000:0000:0010,123
CRYT3016454,2405:0203:c3f4:454F:0000:0000:0000:0010,123
CRYT3016344,2405:0203:c3f4:3E68:0000:0000:0000:0010,123
CRYT3155435,2405:0203:c3f4:EC68:0000:0000:0000:0010,123
CRYT3158466,2405:0203:c3f9:AB53:0000:0000:0000:0010,123
CRYT3163907,2405:0203:c3f9:B0E5:0000:0000:0000:0010,123
CRYT3420946,2405:0203:c3e1:638C:0000:0000:0000:0010,123
CRYT3151831,2405:0203:c3f9:98C4:0000:0000:0000:0010,123
CRYT3406811,2405:0203:c3e0:DC84:0000:0000:0000:0010,123
CRYT3038533,2405:0203:c3f4:653F:0000:0000:0000:0010,123
CRYT3015775,2405:0203:c3f4:6A7C:0000:0000:0000:0010,123
CRYT3070031,2405:0203:c3f4:7FE0:0000:0000:0000:0010,123
CRYT3033110,2405:0203:c3f4:AFAF:0000:0000:0000:0010,123
CRYT3185481,2405:0203:c3f9:00C7:0000:0000:0000:0010,123
CRYT3156421,2405:0203:c3f9:A966:0000:0000:0000:0010,123
CRYT3538583,2405:0203:c3e1:816B:0000:0000:0000:0010,123
CRYT3029703,2405:0203:c3f4:502E:0000:0000:0000:0010,123
CRYT3163716,2405:0203:c3f9:ABEB:0000:0000:0000:0010,123
CRYT3326195,2405:0203:c3f9:0D12:0000:0000:0000:0010,123
CRYT3065287,2405:0203:c3f4:970A:0000:0000:0000:0010,123
CRYT3068360,2405:0203:c3f4:D026:0000:0000:0000:0010,123
CRYT3159357,2405:0203:c3f9:B41D:0000:0000:0000:0010,123
CRYT3039118,2405:0203:c3f4:6558:0000:0000:0000:0010,123
CRYT3039984,2405:0203:c3f4:C899:0000:0000:0000:0010,123
CRYT3154077,2405:0203:c3f4:EFF5:0000:0000:0000:0010,123
CRYT3157266,2405:0203:c3f4:F322:0000:0000:0000:0010,123
CRYT3035994,2405:0203:c3f4:5B9F:0000:0000:0000:0010,123
CRYT3163946,2405:0203:c3f9:B128:0000:0000:0000:0010,123
CRYT3358373,2405:0203:c3f9:C29B:0000:0000:0000:0010,123
CRYT3155245,2405:0203:c3f4:EE24:0000:0000:0000:0010,123
CRYT3034871,2405:0203:c3f4:9BEA:0000:0000:0000:0010,123
CRYT3155015,2405:0203:c3f4:E60B:0000:0000:0000:0010,123
CRYT3043427,2405:0203:c3f4:7C7A:0000:0000:0000:0010,123
CRYT3558805,2405:0203:c3e5:7688:0000:0000:0000:0010,123
CRYT3394922,2405:0203:c3e1:2FC7:0000:0000:0000:0010,123
CRYT3072058,2405:0203:c3f9:8C1E:0000:0000:0000:0010,123
CRYT3412067,2405:0203:c3e0:A467:0000:0000:0000:0010,123
